address	serial	pubkey	sku	denomination	batch	coin_batch_number	created_at	status	pubkey_2fa	txid
13BaDj6EuWP9JpyRBJGsKobNXGXTUgHMqz	E263		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
15XSaLDKyk8G17zC3FnGf3JZhBsPJ2H4J6	E264		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
15SyDSRKjywMCxa6cEY4pzMHRsa4Yz9Vhm	E265		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1LAZPAiU9AgUwd9jTsjycdZ7QfCy9nG9J6	E266		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
17JMjXDdxVPYucgzrmdYAV76e7mqx26hwE	E267		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1PdLieCaqtWSQbu7C7QaMhHnJQDbXKwsrs	E268		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1JCW6NoHnpLeRzFaWADJTfvXKi4vbYSNg9	E269		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
14mPojeD2XDbH5wwDdKtsyXvfXGTpBU9CL	E270		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1MyS2NUgQ3oPyEu96ZLoLqcoGziQ6MwvCP	E271		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1Eg7K7NisGvfZRZuC7e418uYdeHZDqJP6h	E272		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
19pyZJToi5aDeugpEMAa2ksjjMdbwrZg7G	E273		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1N9xUnupJWFLTZHZZ8ZDvbs7dMVTHfDydC	E274		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
13aJtKTkjoQcsH7M1Z349SxAn4RgWRu2TS	E275		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
14S4QpnmavHW9sEf8P1k6MEX9bMy6ZmqLm	E276		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1Nacc6EWKqw4xxLsKcXs8LFmn3TDNUhaN	E277		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1MutTfG56MNy5XhWKN5FR14YSuJzbXEb5C	E278		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1JyE8yjbZ9mB2u7z2MG8vmgf1DYQ43tJ4D	E279		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1B4wgKkAgjfzJfvbTuDRiQFLXkSZmUYAKo	E280		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1Q7NdNivNEXNfCCKZHqaHyHX6vWRGvTan2	L141		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		d730213bd1c518e3a3432f1c510ada1d76f2f4d33fda25ff853a276d64e450d1
1PtKP1ti51VS6Cc5D4XSxBqzBQJefizFoy	L142		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1By2faZxBfPwUqgvznMvCJmbruaQPHkEvp	L143		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
